team1_wins,team1_encoded,team2_encoded,team1_won_toss,toss_field,toss_decision_encoded,is_playoff,is_super_over,team1_win_rate,team2_win_rate,win_rate_diff,venue_match_count
Team2_Wins,14,7,1,1,1,0,0,0.488,0.522,-0.034,63
Team2_Wins,11,1,0,0,0,0,0,0.455,0.582,-0.127,35
Team1_Wins,3,12,0,0,0,0,0,0.46,0.511,-0.051,59
Team2_Wins,9,14,1,0,0,0,0,0.552,0.488,0.064,73
Team1_Wins,7,2,0,0,0,0,0,0.522,0.387,0.135,77
Team1_Wins,12,11,0,0,0,0,0,0.511,0.455,0.056,47
Team2_Wins,2,3,1,0,0,0,0,0.387,0.46,-0.073,49
Team1_Wins,1,9,0,1,1,0,0,0.582,0.552,0.03,48
Team2_Wins,2,12,0,1,1,0,0,0.387,0.511,-0.124,49
Team1_Wins,11,9,0,1,1,0,0,0.455,0.552,-0.097,35
Team2_Wins,14,12,0,1,1,0,0,0.488,0.511,-0.023,63
Team1_Wins,1,7,0,0,0,0,0,0.582,0.522,0.06,48
Team2_Wins,9,2,0,1,1,0,0,0.552,0.387,0.165,17
Team1_Wins,11,3,0,0,0,0,0,0.455,0.46,-0.005,35
Team2_Wins,14,1,0,0,0,0,0,0.488,0.582,-0.094,63
Team2_Wins,7,9,1,0,0,0,0,0.522,0.552,-0.03,77
Team1_Wins,3,14,0,1,1,0,0,0.46,0.488,-0.028,59
Team2_Wins,2,11,0,1,1,0,0,0.387,0.455,-0.068,49
Team1_Wins,12,7,1,0,0,0,0,0.511,0.522,-0.011,47
Team2_Wins,1,3,1,0,0,0,0,0.582,0.46,0.122,48
Team1_Wins,11,7,1,0,0,0,0,0.455,0.522,-0.067,35
Team1_Wins,14,2,0,1,1,0,0,0.488,0.387,0.101,63
Team1_Wins,9,3,0,1,1,0,0,0.552,0.46,0.092,17
Team1_Wins,12,1,0,0,0,0,0,0.511,0.582,-0.071,47
Team2_Wins,14,11,0,1,1,0,0,0.488,0.455,0.033,63
Team2_Wins,1,2,0,1,1,0,0,0.582,0.387,0.195,48
Team1_Wins,9,12,1,1,1,0,0,0.552,0.511,0.041,17
Team2_Wins,3,1,0,1,1,0,0,0.46,0.582,-0.122,59
Team1_Wins,7,14,1,0,0,0,0,0.522,0.488,0.034,77
Team1_Wins,12,2,1,1,1,0,0,0.511,0.387,0.124,47
Team1_Wins,1,11,0,1,1,0,0,0.582,0.455,0.127,48
Team2_Wins,2,7,0,0,0,0,0,0.387,0.522,-0.135,49
Team1_Wins,12,3,1,1,1,0,0,0.511,0.46,0.051,47
Team1_Wins,11,14,0,0,0,0,0,0.455,0.488,-0.033,35
Team1_Wins,7,3,1,0,0,0,0,0.522,0.46,0.062,77
Team1_Wins,9,1,1,1,1,0,0,0.552,0.582,-0.03,73
Team1_Wins,3,2,0,1,1,0,0,0.46,0.387,0.073,59
Team1_Wins,9,7,1,1,1,0,0,0.552,0.522,0.03,73
Team2_Wins,3,11,1,0,0,0,0,0.46,0.455,0.005,59
Team1_Wins,12,14,0,1,1,0,0,0.511,0.488,0.023,47
Team2_Wins,2,9,1,1,1,0,0,0.387,0.552,-0.165,49
Team2_Wins,7,1,1,0,0,0,0,0.522,0.582,-0.06,77
Team2_Wins,14,3,0,1,1,0,0,0.488,0.46,0.028,63
Team2_Wins,7,12,0,1,1,0,0,0.522,0.511,0.011,77
Team2_Wins,9,11,1,1,1,0,0,0.552,0.455,0.097,73
Team2_Wins,1,14,0,0,0,0,0,0.582,0.488,0.094,48
Team1_Wins,11,2,1,1,1,0,0,0.455,0.387,0.068,35
Team1_Wins,3,9,1,1,1,0,0,0.46,0.552,-0.092,59
Team2_Wins,1,12,0,0,0,0,0,0.582,0.511,0.071,48
